Class JUFiles    t_gen      t_exec     InstrCov      BranchCov     MutationCov 
com.google.gdata.data.AttributeHelper                              2.00       0.40       0.01       2.54            0.00            0.00           
com.google.gdata.data.DateTime                                     39.00      4.50       0.52       94.23           84.76           60.68          
com.google.gdata.data.Kind                                         26.50      3.82       0.28       67.49           65.91           62.68          
com.google.gdata.data.Link                                         16.00      4.27       0.27       74.13           70.05           55.00          
com.google.gdata.data.OtherContent                                 21.50      4.39       0.21       42.48           38.64           30.00          
com.google.gdata.data.OutOfLineContent                             22.83      5.10       0.23       75.61           79.17           45.83          
com.google.gdata.data.Source                                       12.67      4.81       0.15       35.01           23.48           25.65          
net.sf.javaml.core.AbstractInstance                                23.83      3.78       0.38       92.31           71.43           79.17          
net.sf.javaml.core.Complex                                         18.00      4.17       0.16       100.00          0.00            100.00         
net.sf.javaml.core.DefaultDataset                                  18.67      3.85       0.17       48.81           37.50           41.94          
net.sf.javaml.core.DenseInstance                                   23.67      5.52       0.32       100.00          100.00          88.71          
net.sf.javaml.core.Fold                                            0.00       2.27       0.00       0.00            0.00            0.00           
net.sf.javaml.core.SparseInstance                                  21.50      6.30       0.36       98.37           87.50           73.53          
net.sf.javaml.tools.data.ARFFHandler                               20.83      4.91       0.21       38.98           25.00           22.22          
com.puppycrawl.tools.checkstyle.api.AbstractLoader                 52.67      2.07       0.71       43.50           8.33            1.67           
com.puppycrawl.tools.checkstyle.api.AnnotationUtility              121.00     4.17       0.95       19.05           10.00           0.00           
com.puppycrawl.tools.checkstyle.api.AutomaticBean                  31.83      6.94       0.50       36.59           0.00            4.65           
com.puppycrawl.tools.checkstyle.api.FileContents                   26.00      6.09       0.30       92.53           80.77           51.33          
com.puppycrawl.tools.checkstyle.api.FileText                       18.33      9.00       0.23       90.18           87.82           64.18          
com.puppycrawl.tools.checkstyle.api.ScopeUtils                     18.00      10.57      0.14       26.58           11.00           29.51          
com.puppycrawl.tools.checkstyle.api.Utils                          121.00     10.21      1.17       93.93           96.15           82.54          
com.google.common.base.CharMatcher                                 17.17      3.02       0.20       84.55           82.02           61.50          
com.google.common.base.Joiner                                      12.00      3.41       0.16       84.55           86.96           97.87          
com.google.common.base.Objects                                     28.33      4.65       0.27       100.00          99.07           100.00         
com.google.common.base.Predicates                                  22.83      5.25       0.22       54.65           44.44           46.61          
com.google.common.base.SmallCharMatcher                            15.83      4.30       0.34       98.16           96.79           74.31          
com.google.common.base.Splitter                                    30.00      4.47       0.28       95.39           89.10           66.85          
com.google.common.base.Suppliers                                   24.17      4.73       0.23       46.34           20.83           27.27          
de.tudarmstadt.ukp.wikipedia.api.CategoryDescendantsIterator       0.00       2.27       0.00       0.00            0.00            0.00           
de.tudarmstadt.ukp.wikipedia.api.CycleHandler                      118.00     2.79       1.28       18.36           0.00            0.00           
de.tudarmstadt.ukp.wikipedia.api.Page                              81.00      5.50       1.11       1.49            6.00            0.00           
de.tudarmstadt.ukp.wikipedia.api.PageIterator                      5.00       5.17       0.05       11.26           0.00            0.00           
de.tudarmstadt.ukp.wikipedia.api.PageQueryIterable                 0.00       2.32       0.00       0.00            0.00            0.00           
de.tudarmstadt.ukp.wikipedia.api.Title                             43.83      8.37       0.44       78.40           77.08           100.00         
de.tudarmstadt.ukp.wikipedia.api.WikipediaInfo                     2.00       5.64       0.01       8.58            7.33            1.00           
org.asynchttpclient.AsyncHttpClient                                15.17      2.95       0.26       71.62           58.33           66.67          
org.asynchttpclient.AsyncHttpClientConfig                          17.17      3.12       0.22       95.17           54.44           84.55          
org.asynchttpclient.FluentCaseInsensitiveStringsMap                10.50      3.26       0.10       95.23           90.41           90.57          
org.asynchttpclient.FluentStringsMap                               10.33      3.38       0.11       96.12           92.05           93.80          
org.asynchttpclient.Realm                                          20.50      5.13       0.20       92.95           59.46           84.37          
org.asynchttpclient.RequestBuilderBase                             13.33      3.75       0.20       71.62           54.64           42.64          
org.asynchttpclient.SimpleAsyncHttpClient                          7.17       5.84       0.26       74.40           40.98           58.28          
org.scribe.model.OAuthConfig                                       32.67      3.12       0.28       68.35           50.00           88.89          
org.scribe.model.OAuthRequest                                      0.00       0.31       0.00       0.00            0.00            0.00           
org.scribe.model.ParameterList                                     13.83      3.29       0.18       91.55           94.44           95.65          
org.scribe.model.Request                                           0.00       0.31       0.00       0.00            0.00            0.00           
org.scribe.model.Response                                          2.00       1.50       0.01       1.77            0.00            0.00           
org.scribe.model.Token                                             41.33      4.52       0.37       99.16           96.88           90.91          
org.scribe.model.Verifier                                          105.67     6.66       0.83       100.00          0.00            50.00          
