tool,benchmark,class,run,preparationTime,generationTime,executionTime,testcaseNumber,uncompilableNumber,brokenTests,failTests,linesTotal,linesCovered,linesCoverageRatio,conditionsTotal,conditionsCovered,conditionsCoverageRatio,mutantsTotal,mutantsCovered,mutantsCoverageRatio,mutantsKilled,mutantsKillRatio,mutantsAlive,timeBudget,totalTestClasses
t3,Lang-41,org.apache.commons.lang.ClassUtils,1,6,5323,214,0,0,0,0,268,0,0.0,216,0,0.0,346,0,0.0,0,0.0,0,60,0
t3,Time-3,org.joda.time.MutableDateTime,1,6,67238,8971,27,0,3,2,247,177,71.65992,63,34,53.968258,90,75,83.33333,24,26.666668,51,60,9
t3,Lang-43,org.apache.commons.lang.text.ExtendedMessageFormat,1,4,28282,19471,78,0,0,0,163,20,12.269938,99,1,1.010101,184,1,0.54347825,0,0.0,1,60,26
t3,Time-5,org.joda.time.Period,1,5,67140,62613,213,0,12,9,288,285,98.95833,64,61,95.3125,467,467,100.0,335,71.734474,132,60,71
t3,Math-91,org.apache.commons.math.fraction.Fraction,1,4,24580,17549,75,0,0,0,149,139,93.28859,90,75,83.33333,360,331,91.94444,222,61.666668,109,60,25
t3,Time-4,org.joda.time.Partial,1,5,49268,72769,246,0,45,2,249,247,99.196785,106,104,98.11321,336,336,100.0,257,76.4881,79,60,82
t3,Time-7,org.joda.time.format.DateTimeFormatter,1,4,66757,17918,114,0,0,0,208,78,37.5,88,18,20.454546,176,35,19.886364,20,11.363637,15,60,38
t3,Math-93,org.apache.commons.math.util.MathUtils,1,7,66318,200,0,0,0,0,227,0,0.0,223,0,0.0,892,0,0.0,0,0.0,0,60,0
t3,Time-6,org.joda.time.chrono.GJChronology,1,5,57042,40945,297,0,6,15,349,203,58.166187,182,69,37.91209,0,0,0.0,0,0.0,0,60,99
t3,Time-8,org.joda.time.DateTimeZone,1,4,6240,201,0,0,0,0,354,0,0.0,182,0,0.0,439,0,0.0,0,0.0,0,60,0
t3,Closure-74,com.google.javascript.jscomp.PeepholeFoldConstants,1,10,51913,11520,33,0,0,0,765,65,8.496733,624,31,4.967949,880,59,6.704546,18,2.0454545,41,60,11
t3,Closure-124,com.google.javascript.jscomp.ExploitAssigns,1,6,76358,13818,42,0,0,0,74,7,9.459459,68,3,4.4117646,73,3,4.109589,2,2.739726,1,60,14
t3,Closure-132,com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,1,5,17639,207,0,0,0,0,687,0,0.0,536,0,0.0,674,0,0.0,0,0.0,0,60,0
t3,Closure-130,com.google.javascript.jscomp.CollapseProperties,1,7,66612,3549,9,0,1,0,330,25,7.575758,266,8,3.0075188,358,4,1.1173184,0,0.0,4,60,3
t3,Closure-35,com.google.javascript.jscomp.TypeInference,1,5,65757,8312,63,0,0,0,531,18,3.3898306,412,6,1.4563107,416,20,4.8076925,10,2.4038463,10,60,21
t3,Time-10,org.joda.time.base.BaseSingleFieldPeriod,1,6,7351,195,0,0,0,0,70,0,0.0,46,0,0.0,118,0,0.0,0,0.0,0,60,0
t3,Math-44,org.apache.commons.math.ode.AbstractIntegrator,1,10,10504,191,0,0,0,0,120,0,0.0,46,0,0.0,72,0,0.0,0,0.0,0,60,0
t3,Math-88,org.apache.commons.math.optimization.linear.SimplexTableau,1,10,60443,6536,72,0,0,0,131,14,10.687022,90,4,4.4444447,392,16,4.0816326,4,1.0204082,12,60,24
t3,Lang-37,org.apache.commons.lang3.ArrayUtils,1,4,59181,112956,513,0,27,0,957,943,98.537094,806,780,96.77419,2015,2006,99.55335,1948,96.674934,58,60,171
t3,Lang-36,org.apache.commons.lang3.math.NumberUtils,1,12,33565,24351,138,0,0,0,373,332,89.00804,352,258,73.295456,812,660,81.280785,316,38.916256,344,60,46
t3,Chart-4,org.jfree.chart.plot.XYPlot,1,11,62042,44036,75,0,0,0,1749,548,31.33219,966,195,20.186335,1369,427,31.190649,119,8.692476,308,60,25
t3,Math-7,org.apache.commons.math3.ode.AbstractIntegrator,1,11,10832,189,0,0,0,0,127,0,0.0,58,0,0.0,82,0,0.0,0,0.0,0,60,0
t3,Chart-3,org.jfree.data.time.TimeSeries,1,9,59529,78159,189,0,27,0,371,335,90.29649,194,150,77.31959,490,433,88.36735,257,52.448982,176,60,63
t3,Chart-6,org.jfree.chart.util.ShapeList,1,11,24178,10005,33,0,0,2,34,17,50.0,16,8,50.0,28,10,35.714287,7,25.0,3,60,11
t3,Chart-2,org.jfree.data.general.DatasetUtilities,1,7,59830,45339,156,0,2,0,808,405,50.123764,548,220,40.145985,794,376,47.355164,221,27.833754,155,60,52
t3,Chart-1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,1,11,9783,198,0,0,0,0,519,0,0.0,242,0,0.0,246,0,0.0,0,0.0,0,60,0
t3,Lang-50,org.apache.commons.lang.time.FastDateFormat,1,9,49608,70594,294,0,26,0,455,429,94.28571,228,204,89.47369,689,679,98.54862,382,55.442673,297,60,98
t3,Chart-7,org.jfree.data.time.TimePeriodValues,1,11,56839,41429,120,0,11,0,149,145,97.31544,54,51,94.44444,254,253,99.6063,153,60.23622,100,60,40
t3,Chart-9,org.jfree.data.time.TimeSeries,1,8,58947,56280,177,0,17,0,280,259,92.5,140,121,86.42857,435,393,90.344826,297,68.27586,96,60,59
