tool,benchmark,class,run,preparationTime,generationTime,executionTime,testcaseNumber,uncompilableNumber,brokenTests,failTests,linesTotal,linesCovered,linesCoverageRatio,conditionsTotal,conditionsCovered,conditionsCoverageRatio,mutantsTotal,mutantsCovered,mutantsCoverageRatio,mutantsKilled,mutantsKillRatio,mutantsAlive,timeBudget,totalTestClasses
t3,Time-3,org.joda.time.MutableDateTime,1,6,67238,8971,27,0,3,2,247,177,71.65992,63,34,53.968258,90,75,83.33333,24,26.666668,51,60,9
t3,Time-5,org.joda.time.Period,1,5,67140,62613,213,0,12,9,288,285,98.95833,64,61,95.3125,467,467,100.0,335,71.734474,132,60,71
t3,Math-91,org.apache.commons.math.fraction.Fraction,1,4,24580,17549,75,0,0,0,149,139,93.28859,90,75,83.33333,360,331,91.94444,222,61.666668,109,60,25
t3,Time-4,org.joda.time.Partial,1,5,49268,72769,246,0,45,2,249,247,99.196785,106,104,98.11321,336,336,100.0,257,76.4881,79,60,82
t3,Time-7,org.joda.time.format.DateTimeFormatter,1,4,66757,17918,114,0,0,0,208,78,37.5,88,18,20.454546,176,35,19.886364,20,11.363637,15,60,38
t3,Closure-74,com.google.javascript.jscomp.PeepholeFoldConstants,1,10,51913,11520,33,0,0,0,765,65,8.496733,624,31,4.967949,880,59,6.704546,18,2.0454545,41,60,11
t3,Math-88,org.apache.commons.math.optimization.linear.SimplexTableau,1,10,60443,6536,72,0,0,0,131,14,10.687022,90,4,4.4444447,392,16,4.0816326,4,1.0204082,12,60,24
t3,Lang-37,org.apache.commons.lang3.ArrayUtils,1,4,59181,112956,513,0,27,0,957,943,98.537094,806,780,96.77419,2015,2006,99.55335,1948,96.674934,58,60,171
t3,Chart-6,org.jfree.chart.util.ShapeList,1,11,24178,10005,33,0,0,2,34,17,50.0,16,8,50.0,28,10,35.714287,7,25.0,3,60,11
t3,Chart-7,org.jfree.data.time.TimePeriodValues,1,11,56839,41429,120,0,11,0,149,145,97.31544,54,51,94.44444,254,253,99.6063,153,60.23622,100,60,40
t3,Math-52,org.apache.commons.math.geometry.euclidean.threed.Rotation,1,3,48701,18126,60,0,0,0,327,249,76.14679,122,59,48.360653,2706,2417,89.32003,1608,59.423508,809,60,20
