project_id,version_id,test_suite_source,test_id,mut_generated,mut_covered,mut_killed
Chart,12f,jtexpert,1060,164,37,13
Chart,12f,jtexpert,1120,164,42,21
Chart,12f,jtexpert,1240,164,30,12
Chart,12f,jtexpert,1480,164,39,22
Chart,12f,jtexpert,2060,164,29,10
Chart,12f,jtexpert,2120,164,29,12
Chart,12f,jtexpert,2240,164,44,22
Chart,12f,jtexpert,2480,164,44,21
Chart,12f,jtexpert,3060,164,32,14
Chart,12f,jtexpert,3120,164,34,12
Chart,12f,jtexpert,3240,164,32,16
Chart,12f,jtexpert,3480,164,37,18
Chart,12f,jtexpert,4240,164,36,17
Chart,12f,jtexpert,4480,164,43,19
Chart,12f,jtexpert,5060,164,36,17
Chart,12f,jtexpert,5120,164,35,15
Chart,12f,jtexpert,5240,164,39,14
Chart,12f,jtexpert,5480,164,38,21
Chart,12f,jtexpert,6060,164,30,10
Chart,12f,jtexpert,6120,164,37,18
Chart,12f,jtexpert,6240,164,42,22
Chart,12f,jtexpert,6480,164,37,19
Chart,17f,jtexpert,5060,428,270,103
Chart,17f,jtexpert,6480,428,331,117
Chart,1f,jtexpert,1240,246,87,29
Chart,1f,jtexpert,2060,246,82,26
Chart,1f,jtexpert,2120,246,71,17
Chart,1f,jtexpert,2240,246,92,37
Chart,1f,jtexpert,2480,246,87,30
Chart,1f,jtexpert,3120,246,62,16
Chart,1f,jtexpert,3240,246,85,27
Chart,1f,jtexpert,3480,246,85,28
Chart,1f,jtexpert,4120,246,74,22
Chart,1f,jtexpert,4240,246,62,17
Chart,1f,jtexpert,4480,246,67,17
Chart,1f,jtexpert,5120,246,87,36
Chart,1f,jtexpert,5240,246,91,35
Chart,1f,jtexpert,5480,246,85,32
Chart,1f,jtexpert,6060,246,79,15
Chart,23f,jtexpert,1060,168,46,8
Chart,23f,jtexpert,1120,168,55,16
Chart,23f,jtexpert,1240,168,54,17
Chart,23f,jtexpert,1480,168,55,24
Chart,23f,jtexpert,2120,168,52,12
Chart,23f,jtexpert,2240,168,58,23
Chart,23f,jtexpert,2480,168,53,16
Chart,23f,jtexpert,3120,168,52,16
Chart,23f,jtexpert,3240,168,54,18
Chart,23f,jtexpert,3480,168,53,17
Chart,23f,jtexpert,4060,168,49,10
Chart,23f,jtexpert,4120,168,51,13
Chart,23f,jtexpert,4480,168,54,24
Chart,23f,jtexpert,5120,168,50,13
Chart,23f,jtexpert,5240,168,52,12
Chart,23f,jtexpert,5480,168,55,24
Chart,23f,jtexpert,6060,168,50,7
Chart,23f,jtexpert,6120,168,53,18
Chart,23f,jtexpert,6240,168,48,15
Chart,23f,jtexpert,6480,168,53,20
Chart,25f,jtexpert,4120,372,5,3
Chart,3f,jtexpert,4480,490,413,219
Chart,3f,jtexpert,5120,490,381,161
Chart,4f,jtexpert,3120,1369,294,63
Chart,4f,jtexpert,5480,1369,508,224
Chart,9f,jtexpert,4240,435,260,107
Closure,124f,randoop,1060,73,0,0
Closure,124f,randoop,2060,73,0,0
Closure,124f,randoop,3060,73,0,0
Closure,124f,randoop,4060,73,0,0
Closure,124f,randoop,5060,73,0,0
Closure,124f,randoop,6060,73,0,0
Closure,130f,randoop,1060,358,4,0
Closure,130f,randoop,1120,358,4,0
Closure,130f,randoop,1240,358,4,0
Closure,130f,randoop,2060,358,4,0
Closure,130f,randoop,2120,358,4,0
Closure,130f,randoop,2240,358,4,0
Closure,130f,randoop,3060,358,4,0
Closure,130f,randoop,3120,358,4,0
Closure,130f,randoop,3240,358,4,0
Closure,130f,randoop,4060,358,4,0
Closure,130f,randoop,4120,358,4,0
Closure,130f,randoop,5060,358,4,0
Closure,130f,randoop,5120,358,4,0
Closure,130f,randoop,5240,358,4,0
Closure,130f,randoop,6060,358,4,0
Closure,130f,randoop,6120,358,4,0
Closure,130f,randoop,6240,358,4,0
Closure,16f,randoop,1060,166,0,0
Closure,16f,randoop,1120,166,0,0
Closure,16f,randoop,2060,166,0,0
Closure,16f,randoop,2120,166,0,0
Closure,16f,randoop,3060,166,0,0
Closure,16f,randoop,3120,166,0,0
Closure,16f,randoop,4060,166,0,0
Closure,16f,randoop,4120,166,0,0
Closure,16f,randoop,5060,166,0,0
Closure,16f,randoop,5120,166,0,0
Closure,16f,randoop,6060,166,0,0
Closure,16f,randoop,6120,166,0,0
Closure,20f,jtexpert,3480,662,132,59
Closure,46f,evosuite,1060,58,0,0
Closure,46f,evosuite,1120,58,0,0
Closure,46f,evosuite,2060,58,0,0
Closure,46f,evosuite,2120,58,0,0
Closure,46f,evosuite,3060,58,0,0
Closure,46f,evosuite,3120,58,0,0
Closure,46f,evosuite,4060,58,0,0
Closure,46f,evosuite,4120,58,0,0
Closure,46f,evosuite,5060,58,0,0
Closure,46f,evosuite,5120,58,0,0
Closure,46f,evosuite,6060,58,0,0
Closure,46f,evosuite,6120,58,0,0
Closure,98f,jtexpert,3480,248,100,49
Closure,98f,jtexpert,5120,248,139,58
Closure,99f,randoop,1060,112,0,0
Closure,99f,randoop,1120,112,9,5
Closure,99f,randoop,1240,112,9,6
Closure,99f,randoop,2060,112,0,0
Closure,99f,randoop,2120,112,9,5
Closure,99f,randoop,3060,112,0,0
Closure,99f,randoop,3120,112,9,5
Closure,99f,randoop,3240,112,9,6
Closure,99f,randoop,4060,112,0,0
Closure,99f,randoop,4120,112,9,5
Closure,99f,randoop,4240,112,17,7
Closure,99f,randoop,5060,112,0,0
Closure,99f,randoop,5120,112,9,5
Closure,99f,randoop,6060,112,0,0
Closure,99f,randoop,6120,112,9,5
Lang,33f,evosuite,1060,349,236,111
Lang,33f,evosuite,1120,349,236,147
Lang,33f,evosuite,1240,349,283,176
Lang,33f,evosuite,2060,349,247,143
Lang,33f,evosuite,2120,349,235,145
Lang,33f,evosuite,2240,349,246,160
Lang,33f,evosuite,3240,349,255,154
Lang,33f,evosuite,4060,349,248,109
Lang,33f,evosuite,4240,349,262,145
Lang,33f,evosuite,4480,349,231,129
Lang,33f,evosuite,6060,349,231,137
Lang,33f,evosuite,6120,349,225,129
Lang,33f,evosuite,6480,349,258,132
Lang,36f,jtexpert,1240,812,789,427
Lang,36f,jtexpert,3120,812,778,344
Lang,36f,jtexpert,5480,812,787,434
Lang,37f,jtexpert,2060,2015,1852,1022
Lang,37f,jtexpert,3120,2015,1852,1191
Lang,37f,jtexpert,3480,2015,1856,1256
Lang,37f,jtexpert,5240,2015,1854,1167
Lang,41f,evosuite,1060,346,252,119
Lang,41f,evosuite,1120,346,250,152
Lang,41f,evosuite,2120,346,250,157
Lang,41f,evosuite,3060,346,241,120
Lang,41f,evosuite,3120,346,248,150
Lang,41f,evosuite,3480,346,220,114
Lang,41f,evosuite,4060,346,264,126
Lang,41f,evosuite,5060,346,236,146
Lang,41f,evosuite,6060,346,256,122
Lang,41f,evosuite,6120,346,250,147
Lang,41f,evosuite,6240,346,244,158
Lang,41f,evosuite,6480,346,259,134
Lang,41f,jtexpert,4480,346,340,202
Lang,41f,jtexpert,5240,346,323,207
Lang,47f,evosuite,1480,1642,1558,930
Lang,58f,jtexpert,1060,977,887,377
Lang,58f,jtexpert,1240,977,942,522
Lang,58f,jtexpert,5480,977,935,510
Lang,65f,jtexpert,2480,406,399,212
Lang,65f,jtexpert,5480,406,400,174
Lang,65f,jtexpert,6480,406,395,179
Math,44f,jtexpert,6060,72,13,8
Math,52f,jtexpert,1060,2706,1387,1017
Math,52f,jtexpert,3060,2706,1391,1064
Math,52f,jtexpert,3480,2706,2520,1931
Math,7f,jtexpert,1060,82,13,8
Time,20f,jtexpert,6120,1743,1311,892
Time,20f,jtexpert,3480,1743,1431,844
Time,20f,jtexpert,3060,1743,1272,538
Time,20f,t3,5480,1743,1455,694
