tool,benchmark,class,run,preparationTime,generationTime,executionTime,testcaseNumber,uncompilableNumber,brokenTests,failTests,linesTotal,linesCovered,linesCoverageRatio,conditionsTotal,conditionsCovered,conditionsCoverageRatio,mutantsTotal,mutantsCovered,mutantsCoverageRatio,mutantsKilled,mutantsKillRatio,mutantsAlive,timeBudget,totalTestClasses
combined,ZXING-10,com.google.zxing.qrcode.encoder.Encoder,1,74,12002,11343,-1,0,13,0,276,253,91.66667,155,126,81.29032,0,0,0.0,0,0.0,0,10,60
combined,FASTJSON-9,com.alibaba.fastjson.util.ASMUtils,1,89,11309,2437,125,0,3,0,97,42,43.29897,64,35,54.6875,76,41,53.947372,41,53.947372,35,10,14
combined,FASTJSON-8,com.alibaba.fastjson.parser.JSONReaderScanner,1,86,11686,26343,593,0,15,0,157,131,83.43949,96,69,71.875,127,116,91.33858,50,39.37008,77,10,9
combined,FASTJSON-7,com.alibaba.fastjson.util.IOUtils,1,87,11833,12407,2561,0,151,0,388,324,83.50516,262,201,76.71755,158,127,80.379745,93,58.86076,65,10,42
combined,FASTJSON-6,com.alibaba.fastjson.serializer.DateCodec,1,106,11977,2127,1510,0,14,0,135,91,67.4074,74,40,54.05405,110,67,60.909092,67,60.909092,43,10,23
combined,FASTJSON-5,com.alibaba.fastjson.util.JavaBeanInfo,1,87,11382,907,139,1,22,0,519,258,49.710983,452,192,42.477875,165,99,60.000004,99,60.000004,66,10,13
combined,FASTJSON-4,com.alibaba.fastjson.JSONArray,1,76,11589,20356,-1,0,72,0,149,119,79.86577,30,17,56.666668,0,0,0.0,0,0.0,0,10,11
combined,WEBMAGIC-2,us.codecraft.webmagic.Spider,1,98,1337,18293,34,0,1,0,249,147,59.03614,108,36,33.333336,166,95,57.228916,95,57.228916,71,10,2
combined,FASTJSON-3,com.alibaba.fastjson.parser.DefaultJSONParser,1,92,11687,7858,836,0,10,0,946,178,18.816067,564,64,11.347517,188,31,16.48936,3,1.5957447,185,10,12
combined,JSOUP-1,org.jsoup.parser.TokenQueue,1,83,11841,2758,2199,0,22,0,141,137,97.163124,130,115,88.46153,133,131,98.49624,8,6.0150375,125,10,25
combined,WEBMAGIC-3,us.codecraft.webmagic.Site,1,85,11595,7255,636,0,23,0,89,89,100.0,64,51,79.6875,95,95,100.0,95,100.0,0,10,34
combined,FASTJSON-2,com.alibaba.fastjson.util.TypeUtils,1,76,11691,4582,1524,0,100,0,1372,779,56.778423,1142,565,49.474606,308,200,64.93507,200,64.93507,108,10,36
combined,JSOUP-2,org.jsoup.select.QueryParser,1,73,11331,3955,95,0,3,0,233,142,60.944206,142,88,61.971832,120,79,65.833336,0,0.0,120,10,26
combined,FASTJSON-1,com.alibaba.fastjson.parser.JSONLexerBase,1,98,1603,1667,378,0,44,0,3091,784,25.36396,2197,501,22.803823,1023,269,26.295208,102,9.9706745,921,10,86
combined,JSOUP-3,org.jsoup.helper.DataUtil,1,101,11401,10742,203,0,17,0,104,84,80.769226,90,45,50.0,80,72,90.0,64,80.0,16,10,22
combined,WEBMAGIC-1,us.codecraft.webmagic.model.PageModelExtractor,1,107,1393,7095,36,0,7,0,206,64,31.06796,125,23,18.4,94,38,40.425533,38,40.425533,56,10,4
combined,JSOUP-4,org.jsoup.parser.Parser,1,80,11489,6620,304,0,11,0,41,41,100.0,10,10,100.0,30,30,100.0,30,100.0,0,10,8
combined,JSOUP-5,org.jsoup.parser.Tokeniser,1,102,11707,4607,901,1,0,0,153,97,63.398697,90,32,35.555557,91,48,52.747257,0,0.0,91,10,15
combined,FASTJSON-10,com.alibaba.fastjson.serializer.StringCodec,1,96,12386,10930,4863,0,6,0,45,27,60.000004,20,10,50.0,29,17,58.62069,17,58.62069,12,10,59
combined,ZXING-5,com.google.zxing.qrcode.encoder.MatrixUtil,1,78,12858,14511,44494,0,8,0,155,155,100.0,80,79,98.75,174,174,100.0,30,17.241379,144,10,464
combined,ZXING-6,com.google.zxing.datamatrix.decoder.BitMatrixParser,1,116,11414,5282,35,0,3,0,217,177,81.566826,158,113,71.51899,144,124,86.11111,124,86.11111,20,10,12
combined,ZXING-7,com.google.zxing.pdf417.decoder.ec.ModulusPoly,1,94,11991,4533,2800,0,7,0,109,109,100.0,76,76,100.0,99,99,100.0,99,100.0,0,10,44
combined,ZXING-8,com.google.zxing.maxicode.decoder.DecodedBitStreamParser,1,76,11480,2351,568,0,7,0,78,50,64.10257,30,20,66.66667,52,36,69.230774,36,69.230774,16,10,20
combined,ZXING-1,com.google.zxing.qrcode.detector.FinderPatternFinder,1,84,11912,7716,1185,0,5,0,297,139,46.801346,268,96,35.820896,134,65,48.507465,65,48.507465,69,10,31
combined,ZXING-2,com.google.zxing.pdf417.decoder.PDF417ScanningDecoder,1,88,11408,614,28,0,0,0,291,23,7.90378,262,19,7.251909,162,14,8.641975,9,5.555556,153,10,2
combined,ZXING-3,com.google.zxing.common.StringUtils,1,108,11480,4849,109,0,3,0,88,87,98.86364,118,106,89.830505,111,110,99.0991,110,99.0991,1,10,7
combined,ZXING-4,com.google.zxing.client.result.ResultParser,1,83,1350,7987,-1,0,8,0,107,103,96.26168,82,80,97.560974,0,0,0.0,0,0.0,0,10,24
combined,ZXING-9,com.google.zxing.oned.CodaBarWriter,1,83,12149,3829,4086,0,9,0,63,62,98.4127,49,47,95.918365,47,47,100.0,47,100.0,0,10,52
combined,OKIO-1,okio.Buffer,1,96,11611,433,654,1,0,0,820,631,76.95122,514,328,63.81323,316,248,78.48101,6,1.8987341,310,10,7
combined,OKIO-2,okio.ByteString,1,104,11580,5604,564,0,28,0,192,172,89.58333,142,137,96.478874,114,112,98.24561,112,98.24561,2,10,34
combined,OKIO-5,okio.RealBufferedSink,1,85,11466,5817,80,1,0,0,104,102,98.07692,66,51,77.27273,73,72,98.630135,53,72.60274,20,10,6
combined,OKIO-6,okio.Okio,1,101,11491,6076,242,0,6,0,35,30,85.71429,28,23,82.14286,30,27,90.0,27,90.0,3,10,11
combined,OKIO-3,okio.SegmentedByteString,1,95,11620,7205,296,0,16,0,121,87,71.900826,60,38,63.333332,146,102,69.863014,102,69.863014,44,10,44
combined,OKIO-4,okio.RealBufferedSource,1,109,11416,6564,32,1,0,0,201,31,15.422885,162,19,11.7283945,106,18,16.981133,8,7.5471697,98,10,4
combined,OKIO-9,okio.Utf8,1,92,11365,1639,80,0,4,0,30,18,60.000004,26,11,42.307693,39,15,38.46154,15,38.46154,24,10,8
combined,OKIO-7,okio.Segment,1,78,11546,2147,627,0,7,0,55,48,87.27273,24,22,91.66667,41,35,85.36585,35,85.36585,6,10,10
combined,OKIO-8,okio.AsyncTimeout,1,92,11633,870,471,1,2,0,68,65,95.588234,44,35,79.545456,51,49,96.07843,49,96.07843,2,10,9
combined,REDISSON-10,org.redisson.config.Config,1,94,11682,4977,551,0,11,0,191,170,89.00524,46,43,93.478264,115,102,88.69565,102,88.69565,13,10,9
combined,DUBBO-10,com.alibaba.dubbo.common.bytecode.Wrapper,1,85,1285,3291,93,0,32,0,174,54,31.034481,98,32,32.65306,107,46,42.990654,46,42.990654,61,10,22
combined,REDISSON-5,org.redisson.RedissonBloomFilter,1,105,13108,19998,10930,0,3,0,125,0,0.0,42,0,0.0,75,0,0.0,0,0.0,75,10,148
combined,REDISSON-4,org.redisson.RedissonSetMultimap,1,110,12790,22252,8037,0,3,0,75,11,14.666666,4,0,0.0,19,4,21.052631,4,21.052631,15,10,118
combined,REDISSON-3,org.redisson.jcache.JCacheManager,1,89,12296,3893,5322,0,1,0,193,70,36.26943,84,28,33.333336,78,36,46.153847,36,46.153847,42,10,55
combined,REDISSON-2,org.redisson.RedissonQueue,1,116,12908,16840,6885,0,3,0,26,7,26.923079,8,3,37.5,17,3,17.647058,3,17.647058,14,10,125
combined,REDISSON-1,org.redisson.RedissonSetMultimapValues,1,90,12819,17104,9330,0,2,0,143,23,16.083916,6,2,33.333336,88,6,6.818182,6,6.818182,82,10,113
combined,REDISSON-9,org.redisson.cluster.ClusterPartition,1,95,11717,3195,663,0,0,0,68,68,100.0,22,22,100.0,36,36,100.0,3,8.333334,33,10,26
combined,REDISSON-8,org.redisson.jcache.JCachingProvider,1,92,11801,9506,165,0,10,0,78,58,74.35898,36,21,58.333332,31,25,80.645164,25,80.645164,6,10,18
combined,REDISSON-7,org.redisson.RedissonBaseMapIterator,1,96,1324,16,0,0,2,0,85,0,0.0,50,0,0.0,42,0,0.0,0,0.0,42,10,2
combined,REDISSON-6,org.redisson.reactive.RedissonMapReactive,1,90,11366,14998,74,0,2,0,54,35,64.81481,10,4,40.0,42,27,64.28571,27,64.28571,15,10,17
combined,WEBMAGIC-4,us.codecraft.webmagic.Page,1,73,11586,705,954,0,78,0,71,53,74.64789,24,4,16.666668,29,19,65.51724,19,65.51724,10,10,10
combined,WEBMAGIC-5,us.codecraft.webmagic.utils.DoubleKeyMap,1,93,11628,1729,314,0,5,0,31,30,96.77419,10,10,100.0,16,15,93.75,15,93.75,1,10,12
combined,DUBBO-3,com.alibaba.dubbo.common.utils.StringUtils,1,81,12078,9352,4445,0,2,0,180,172,95.55556,164,157,95.731705,178,177,99.4382,151,84.83146,27,10,72
combined,DUBBO-4,com.alibaba.dubbo.common.utils.ClassHelper,1,95,11895,5814,1099,0,11,0,60,56,93.333336,24,23,95.83333,27,26,96.296295,26,96.296295,1,10,25
combined,DUBBO-5,com.alibaba.dubbo.common.io.UnsafeByteArrayOutputStream,1,80,11559,3623,728,0,7,0,33,32,96.969696,18,17,94.44444,30,29,96.666664,29,96.666664,1,10,25
combined,DUBBO-6,com.alibaba.dubbo.common.utils.CompatibleTypeUtils,1,81,11475,2693,419,0,7,0,92,44,47.826088,106,58,54.71698,86,52,60.465115,52,60.465115,34,10,10
combined,DUBBO-2,com.alibaba.dubbo.common.utils.ReflectUtils,1,83,1322,16,260,2,0,0,472,0,0.0,418,0,0.0,183,0,0.0,0,0.0,183,10,2
combined,OKIO-10,okio.Timeout,1,98,11627,3036,1453,1,0,0,49,39,79.591835,30,26,86.666664,38,32,84.210526,32,84.210526,6,10,28
combined,DUBBO-7,com.alibaba.dubbo.common.beanutil.JavaBeanDescriptor,1,79,11752,8749,1664,0,21,0,65,65,100.0,48,47,97.91667,52,52,100.0,52,100.0,0,10,47
combined,DUBBO-8,com.alibaba.dubbo.common.Parameters,1,84,11384,10656,238,0,22,0,110,93,84.545456,96,69,71.875,104,92,88.46153,92,88.46153,12,10,35
combined,DUBBO-9,com.alibaba.dubbo.common.io.Bytes,1,99,11909,28914,919,0,32,0,297,255,85.85858,130,99,76.15385,162,142,87.65432,51,31.48148,111,10,64
combined,ZXING-10,com.google.zxing.qrcode.encoder.Encoder,2,105,11941,12071,3742,0,11,0,276,252,91.30435,155,128,82.58064,131,125,95.419846,26,19.847328,105,10,65
combined,FASTJSON-9,com.alibaba.fastjson.util.ASMUtils,2,77,11314,2412,128,0,3,0,97,42,43.29897,64,35,54.6875,76,41,53.947372,41,53.947372,35,10,14
combined,FASTJSON-8,com.alibaba.fastjson.parser.JSONReaderScanner,2,108,11675,27417,618,0,13,0,157,129,82.1656,96,71,73.95833,127,115,90.55118,48,37.795277,79,10,10
combined,FASTJSON-7,com.alibaba.fastjson.util.IOUtils,2,110,12027,8083,2661,0,146,0,388,327,84.27835,262,205,78.24428,158,128,81.01266,128,81.01266,30,10,32
combined,FASTJSON-6,com.alibaba.fastjson.serializer.DateCodec,2,94,11924,9094,1500,0,42,0,135,98,72.59259,74,45,60.81081,110,73,66.36364,73,66.36364,37,10,25
combined,FASTJSON-5,com.alibaba.fastjson.util.JavaBeanInfo,2,93,11320,947,139,1,16,0,519,258,49.710983,452,193,42.699116,165,99,60.000004,99,60.000004,66,10,13
combined,FASTJSON-4,com.alibaba.fastjson.JSONArray,2,93,11626,6719,763,0,49,0,149,118,79.194626,30,17,56.666668,96,74,77.08333,44,45.833336,52,10,11
combined,WEBMAGIC-2,us.codecraft.webmagic.Spider,2,80,1290,5880,44,0,0,0,249,111,44.578316,108,19,17.592592,166,69,41.566265,69,41.566265,97,10,2
combined,FASTJSON-3,com.alibaba.fastjson.parser.DefaultJSONParser,2,80,11662,1149,853,0,13,0,946,186,19.661734,564,68,12.056737,188,32,17.021276,3,1.5957447,185,10,11
combined,JSOUP-1,org.jsoup.parser.TokenQueue,2,103,11922,3456,2176,0,23,0,141,139,98.58156,130,122,93.84615,133,132,99.24812,8,6.0150375,125,10,27
combined,WEBMAGIC-3,us.codecraft.webmagic.Site,2,77,11747,4733,494,0,34,0,89,89,100.0,64,51,79.6875,95,95,100.0,95,100.0,0,10,31
combined,FASTJSON-2,com.alibaba.fastjson.util.TypeUtils,2,74,11685,4184,1681,1,91,0,1372,769,56.04956,1142,566,49.562172,308,193,62.66234,193,62.66234,115,10,30
combined,JSOUP-2,org.jsoup.select.QueryParser,2,83,11378,4409,91,0,4,0,233,141,60.515022,142,87,61.26761,0,0,0.0,0,0.0,0,10,26
