tool,benchmark,class,run,preparationTime,generationTime,executionTime,testcaseNumber,uncompilableNumber,brokenTests,failTests,linesTotal,linesCovered,linesCoverageRatio,conditionsTotal,conditionsCovered,conditionsCoverageRatio,mutantsTotal,mutantsCovered,mutantsCoverageRatio,mutantsKilled,mutantsKillRatio,mutantsAlive,timeBudget,totalTestClasses
evosuite,ZXING-10,com.google.zxing.qrcode.encoder.Encoder,1,331,16865,5718,62,0,0,0,276,243,88.04348,155,109,70.32258,131,117,89.31297,67,51.145042,64,10,2
evosuite,FASTJSON-9,com.alibaba.fastjson.util.ASMUtils,1,339,15019,1329,13,0,0,0,96,32,33.333336,64,25,39.0625,76,31,40.789474,23,30.263159,53,10,2
evosuite,FASTJSON-8,com.alibaba.fastjson.parser.JSONReaderScanner,1,346,15754,5040,56,0,1,0,157,127,80.89172,96,66,68.75,127,115,90.55118,113,88.97638,14,10,2
evosuite,FASTJSON-7,com.alibaba.fastjson.util.IOUtils,1,312,17221,4779,50,0,0,0,388,250,64.43299,262,143,54.58015,158,84,53.16456,29,18.354431,129,10,2
evosuite,FASTJSON-6,com.alibaba.fastjson.serializer.DateCodec,1,551,14856,11,0,0,0,0,135,0,0.0,74,0,0.0,0,0,0.0,0,0.0,0,10,0
evosuite,FASTJSON-5,com.alibaba.fastjson.util.JavaBeanInfo,1,313,18772,7,18,1,0,0,519,0,0.0,452,0,0.0,165,0,0.0,0,0.0,165,10,2
evosuite,FASTJSON-4,com.alibaba.fastjson.JSONArray,1,330,19467,17893,57,0,0,0,149,63,42.28188,30,7,23.333334,96,40,41.666664,24,25.0,72,10,2
evosuite,WEBMAGIC-2,us.codecraft.webmagic.Spider,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10,?
evosuite,FASTJSON-3,com.alibaba.fastjson.parser.DefaultJSONParser,1,347,20894,9336,18,0,0,0,943,82,8.695652,564,18,3.1914895,188,8,4.255319,3,1.5957447,185,10,2
evosuite,JSOUP-1,org.jsoup.parser.TokenQueue,1,444,15785,1487,53,0,0,0,141,136,96.453896,130,113,86.92307,133,131,98.49624,74,55.6391,59,10,2
evosuite,WEBMAGIC-3,us.codecraft.webmagic.Site,1,403,15056,4261,57,0,0,0,89,85,95.505615,64,37,57.8125,95,85,89.47369,35,36.842106,60,10,2
evosuite,FASTJSON-2,com.alibaba.fastjson.util.TypeUtils,1,362,17082,27,0,0,0,0,1372,0,0.0,1142,0,0.0,0,0,0.0,0,0.0,0,10,0
evosuite,JSOUP-2,org.jsoup.select.QueryParser,1,492,15450,2865,20,0,0,0,233,112,48.06867,142,66,46.478874,120,69,57.5,37,30.833334,83,10,2
evosuite,FASTJSON-1,com.alibaba.fastjson.parser.JSONLexerBase,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10,?
evosuite,JSOUP-3,org.jsoup.helper.DataUtil,1,390,15814,14140,31,0,0,0,103,68,66.01942,90,37,41.11111,80,65,81.25,23,28.75,57,10,2
evosuite,WEBMAGIC-1,us.codecraft.webmagic.model.PageModelExtractor,1,386,15518,4848,16,0,1,0,206,42,20.38835,125,12,9.6,94,22,23.404255,22,23.404255,72,10,2
evosuite,JSOUP-4,org.jsoup.parser.Parser,1,345,15140,4400,12,0,0,0,41,38,92.68293,10,6,60.000004,30,27,90.0,13,43.333332,17,10,2
evosuite,JSOUP-5,org.jsoup.parser.Tokeniser,1,353,15583,3253,26,0,0,0,153,86,56.209152,90,27,30.000002,91,43,47.252747,14,15.384616,77,10,2
evosuite,FASTJSON-10,com.alibaba.fastjson.serializer.StringCodec,1,387,14906,5713,11,0,0,0,45,19,42.22222,20,8,40.0,29,13,44.827587,6,20.689655,23,10,2
evosuite,ZXING-5,com.google.zxing.qrcode.encoder.MatrixUtil,1,366,15679,4229,25,0,3,0,155,86,55.48387,80,36,45.0,174,85,48.850574,85,48.850574,89,10,2
evosuite,ZXING-6,com.google.zxing.datamatrix.decoder.BitMatrixParser,1,334,16052,3552,11,0,1,0,217,101,46.54378,158,69,43.670887,144,74,51.38889,74,51.38889,70,10,2
evosuite,ZXING-7,com.google.zxing.pdf417.decoder.ec.ModulusPoly,1,336,16406,1335,31,0,0,0,109,107,98.16514,76,74,97.368416,99,99,100.0,73,73.73737,26,10,2
evosuite,ZXING-8,com.google.zxing.maxicode.decoder.DecodedBitStreamParser,1,299,15045,1121,11,0,0,0,78,42,53.846157,30,17,56.666668,52,35,67.30769,15,28.846153,37,10,2
evosuite,ZXING-1,com.google.zxing.qrcode.detector.FinderPatternFinder,1,352,18550,4676,32,0,0,0,297,102,34.343433,268,67,25.0,134,48,35.820896,7,5.223881,127,10,2
evosuite,ZXING-2,com.google.zxing.pdf417.decoder.PDF417ScanningDecoder,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10,?
evosuite,ZXING-3,com.google.zxing.common.StringUtils,1,322,15094,3569,21,0,0,0,88,86,97.72727,118,103,87.28813,111,109,98.1982,5,4.504504,106,10,2
evosuite,ZXING-4,com.google.zxing.client.result.ResultParser,1,299,15322,4545,40,0,2,0,107,97,90.654205,82,74,90.2439,100,97,97.0,96,96.0,4,10,2
evosuite,ZXING-9,com.google.zxing.oned.CodaBarWriter,1,367,15189,1291,17,0,0,0,63,56,88.88889,49,44,89.79591,47,47,100.0,25,53.19149,22,10,2
evosuite,OKIO-1,okio.Buffer,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10,?
evosuite,OKIO-2,okio.ByteString,1,350,17075,1983,53,0,0,0,192,145,75.52083,142,103,72.53521,114,97,85.087715,39,34.210526,75,10,2
evosuite,OKIO-5,okio.RealBufferedSink,1,315,17641,6062,44,0,0,0,104,102,98.07692,66,49,74.242424,73,72,98.630135,39,53.424656,34,10,2
evosuite,OKIO-6,okio.Okio,1,334,15027,4475,31,0,2,0,35,27,77.14286,28,20,71.42857,30,26,86.666664,25,83.33333,5,10,2
evosuite,OKIO-3,okio.SegmentedByteString,1,327,15476,4127,48,0,0,0,121,81,66.94215,60,33,55.0,146,96,65.753426,42,28.767124,104,10,2
evosuite,OKIO-4,okio.RealBufferedSource,1,352,17947,5273,13,0,0,0,201,31,15.422885,162,19,11.7283945,106,18,16.981133,8,7.5471697,98,10,2
evosuite,OKIO-9,okio.Utf8,1,440,14649,1065,7,0,0,0,30,18,60.000004,26,11,42.307693,39,15,38.46154,10,25.641027,29,10,2
evosuite,OKIO-7,okio.Segment,1,398,14942,3770,33,0,0,0,55,48,87.27273,24,22,91.66667,41,35,85.36585,24,58.536583,17,10,2
evosuite,OKIO-8,okio.AsyncTimeout,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10,?
evosuite,REDISSON-10,org.redisson.config.Config,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10,?
evosuite,DUBBO-10,com.alibaba.dubbo.common.bytecode.Wrapper,1,479,16093,1790,7,0,0,0,173,45,26.011559,98,24,24.489796,107,32,29.906542,12,11.214952,95,10,2
evosuite,REDISSON-5,org.redisson.RedissonBloomFilter,1,308,16458,10569,31,0,1,0,125,0,0.0,42,0,0.0,75,0,0.0,0,0.0,75,10,2
evosuite,REDISSON-4,org.redisson.RedissonSetMultimap,1,444,16249,16406,23,0,1,0,75,11,14.666666,4,0,0.0,19,4,21.052631,0,0.0,19,10,2
evosuite,REDISSON-3,org.redisson.jcache.JCacheManager,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10,?
evosuite,REDISSON-2,org.redisson.RedissonQueue,1,444,16447,14103,24,0,1,0,26,7,26.923079,8,3,37.5,17,3,17.647058,0,0.0,17,10,2
evosuite,REDISSON-1,org.redisson.RedissonSetMultimapValues,1,377,19556,9884,105,0,0,0,143,23,16.083916,6,2,33.333336,88,6,6.818182,0,0.0,88,10,2
evosuite,REDISSON-9,org.redisson.cluster.ClusterPartition,1,383,15694,982,16,0,0,0,68,62,91.17647,22,16,72.72727,36,28,77.77778,12,33.333336,24,10,2
evosuite,REDISSON-8,org.redisson.jcache.JCachingProvider,1,347,16115,4593,9,0,0,0,78,57,73.07692,36,21,58.333332,31,25,80.645164,25,80.645164,6,10,2
evosuite,REDISSON-7,org.redisson.RedissonBaseMapIterator,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10,?
evosuite,REDISSON-6,org.redisson.reactive.RedissonMapReactive,1,440,16674,10067,30,0,2,0,54,0,0.0,10,0,0.0,42,0,0.0,0,0.0,42,10,2
evosuite,WEBMAGIC-4,us.codecraft.webmagic.Page,1,375,3298,9,0,0,0,0,71,0,0.0,24,0,0.0,0,0,0.0,0,0.0,0,10,0
evosuite,WEBMAGIC-5,us.codecraft.webmagic.utils.DoubleKeyMap,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10,?
evosuite,DUBBO-3,com.alibaba.dubbo.common.utils.StringUtils,1,418,15465,5392,38,0,2,0,178,154,86.51685,164,139,84.7561,178,165,92.69663,165,92.69663,13,10,2
evosuite,DUBBO-4,com.alibaba.dubbo.common.utils.ClassHelper,1,355,14841,1663,23,0,0,0,60,55,91.66667,24,22,91.66667,27,25,92.59259,18,66.66667,9,10,2
evosuite,DUBBO-5,com.alibaba.dubbo.common.io.UnsafeByteArrayOutputStream,1,407,15013,1546,25,0,0,0,33,32,96.969696,18,17,94.44444,30,29,96.666664,18,60.000004,12,10,2
evosuite,DUBBO-6,com.alibaba.dubbo.common.utils.CompatibleTypeUtils,1,316,14901,1625,2,0,0,0,92,4,4.347826,106,5,4.7169814,86,4,4.6511626,3,3.4883723,83,10,2
evosuite,DUBBO-2,com.alibaba.dubbo.common.utils.ReflectUtils,1,398,3980,13,0,0,0,0,472,0,0.0,418,0,0.0,0,0,0.0,0,0.0,0,10,0
evosuite,OKIO-10,okio.Timeout,1,396,14893,1483,23,0,0,0,49,39,79.591835,30,26,86.666664,38,32,84.210526,30,78.94737,8,10,2
evosuite,DUBBO-7,com.alibaba.dubbo.common.beanutil.JavaBeanDescriptor,1,450,15157,4618,33,0,1,0,65,59,90.76923,48,37,77.08333,52,46,88.46153,46,88.46153,6,10,2
evosuite,DUBBO-8,com.alibaba.dubbo.common.Parameters,1,357,15391,6323,42,0,0,0,110,87,79.09091,96,61,63.541668,104,86,82.69231,49,47.115387,55,10,2
evosuite,DUBBO-9,com.alibaba.dubbo.common.io.Bytes,1,395,17111,6490,127,0,0,0,295,242,82.0339,130,93,71.53846,162,137,84.5679,67,41.358025,95,10,2
evosuite,ZXING-10,com.google.zxing.qrcode.encoder.Encoder,2,303,16766,6132,61,0,1,0,276,240,86.95652,155,104,67.09678,131,116,88.54962,114,87.0229,17,10,2
evosuite,FASTJSON-9,com.alibaba.fastjson.util.ASMUtils,2,318,15006,1445,12,0,0,0,96,32,33.333336,64,25,39.0625,76,31,40.789474,20,26.31579,56,10,2
evosuite,FASTJSON-8,com.alibaba.fastjson.parser.JSONReaderScanner,2,305,16771,5463,61,0,1,0,157,126,80.254776,96,69,71.875,127,114,89.76378,114,89.76378,13,10,2
evosuite,FASTJSON-7,com.alibaba.fastjson.util.IOUtils,2,323,16733,4200,50,0,0,0,388,248,63.917522,262,131,50.0,158,78,49.36709,32,20.253164,126,10,2
evosuite,FASTJSON-6,com.alibaba.fastjson.serializer.DateCodec,2,314,16054,5648,12,0,0,0,135,29,21.481482,74,19,25.675674,110,27,24.545456,14,12.727272,96,10,2
evosuite,FASTJSON-5,com.alibaba.fastjson.util.JavaBeanInfo,2,488,19395,6,18,1,0,0,519,0,0.0,452,0,0.0,165,0,0.0,0,0.0,165,10,2
evosuite,FASTJSON-4,com.alibaba.fastjson.JSONArray,2,439,20149,3689,51,0,0,0,149,66,44.295303,30,6,20.0,96,43,44.791664,29,30.208334,67,10,2
evosuite,WEBMAGIC-2,us.codecraft.webmagic.Spider,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10,?
evosuite,FASTJSON-3,com.alibaba.fastjson.parser.DefaultJSONParser,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10,?
evosuite,JSOUP-1,org.jsoup.parser.TokenQueue,2,420,16463,1438,52,0,0,0,141,137,97.163124,130,112,86.15385,133,131,98.49624,79,59.398495,54,10,2
evosuite,WEBMAGIC-3,us.codecraft.webmagic.Site,2,443,15421,1606,71,0,0,0,89,84,94.38203,64,34,53.125,95,84,88.42105,31,32.63158,64,10,2
evosuite,FASTJSON-2,com.alibaba.fastjson.util.TypeUtils,2,396,19466,6,99,1,0,0,1372,0,0.0,1142,0,0.0,308,0,0.0,0,0.0,308,10,2
evosuite,JSOUP-2,org.jsoup.select.QueryParser,2,457,15710,1866,16,0,0,0,233,99,42.48927,142,54,38.028168,120,60,50.0,35,29.166666,85,10,2
evosuite,FASTJSON-1,com.alibaba.fastjson.parser.JSONLexerBase,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10,?
evosuite,JSOUP-3,org.jsoup.helper.DataUtil,2,417,16098,6759,28,0,0,0,103,70,67.96116,90,39,43.333332,80,65,81.25,23,28.75,57,10,2
evosuite,WEBMAGIC-1,us.codecraft.webmagic.model.PageModelExtractor,2,484,15666,5039,17,0,3,0,206,48,23.300972,125,14,11.200001,94,25,26.595745,25,26.595745,69,10,2
evosuite,JSOUP-4,org.jsoup.parser.Parser,2,460,18889,2039,1,0,0,0,41,12,29.268291,10,2,20.0,30,8,26.666668,1,3.3333335,29,10,2
evosuite,JSOUP-5,org.jsoup.parser.Tokeniser,2,466,15872,2455,27,0,0,0,153,102,66.66667,90,34,37.77778,91,50,54.945057,25,27.472528,66,10,2
evosuite,FASTJSON-10,com.alibaba.fastjson.serializer.StringCodec,2,298,15015,5728,10,0,0,0,45,19,42.22222,20,8,40.0,29,13,44.827587,5,17.241379,24,10,2
evosuite,ZXING-5,com.google.zxing.qrcode.encoder.MatrixUtil,2,302,17849,4051,24,0,5,0,155,75,48.387096,80,29,36.25,174,69,39.655174,69,39.655174,105,10,2
evosuite,ZXING-6,com.google.zxing.datamatrix.decoder.BitMatrixParser,2,328,16473,3550,12,0,4,0,217,157,72.35023,158,89,56.329113,144,108,75.0,108,75.0,36,10,2
evosuite,ZXING-7,com.google.zxing.pdf417.decoder.ec.ModulusPoly,2,333,15965,1350,26,0,0,0,109,106,97.24771,76,73,96.05263,99,99,100.0,79,79.79797,20,10,2
evosuite,ZXING-8,com.google.zxing.maxicode.decoder.DecodedBitStreamParser,2,306,15250,1115,9,0,0,0,78,41,52.564102,30,14,46.666668,52,35,67.30769,14,26.923079,38,10,2
evosuite,ZXING-1,com.google.zxing.qrcode.detector.FinderPatternFinder,2,308,17662,4608,33,0,0,0,297,120,40.40404,268,71,26.492537,134,57,42.537315,6,4.477612,128,10,2
evosuite,ZXING-2,com.google.zxing.pdf417.decoder.PDF417ScanningDecoder,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10,?
