tool,benchmark,class,run,preparationTime,generationTime,executionTime,testcaseNumber,uncompilableNumber,brokenTests,failTests,linesTotal,linesCovered,linesCoverageRatio,conditionsTotal,conditionsCovered,conditionsCoverageRatio,mutantsTotal,mutantsCovered,mutantsCoverageRatio,mutantsKilled,mutantsKillRatio,mutantsAlive,timeBudget,totalTestClasses
manual,ZXING-10,com.google.zxing.qrcode.encoder.Encoder,1,0,10000,26723,374,0,117,0,276,252,91.30435,155,130,83.870964,131,129,98.47328,27,20.610687,104,10,134
manual,FASTJSON-9,com.alibaba.fastjson.util.ASMUtils,1,0,10000,394,0,0,0,0,97,53,54.63917,64,37,57.8125,76,49,64.47369,39,51.315792,37,10,6
manual,FASTJSON-8,com.alibaba.fastjson.parser.JSONReaderScanner,1,0,10000,694,0,0,0,0,157,90,57.324837,96,44,45.833336,127,87,68.50394,48,37.795277,79,10,33
manual,FASTJSON-7,com.alibaba.fastjson.util.IOUtils,1,0,10000,101231,0,4,2,0,388,138,35.56701,262,69,26.335876,158,23,14.556962,12,7.5949364,146,10,8
manual,FASTJSON-6,com.alibaba.fastjson.serializer.DateCodec,1,0,10000,438,8,0,8,0,135,2,1.4814814,74,0,0.0,110,0,0.0,0,0.0,110,10,9
manual,FASTJSON-5,com.alibaba.fastjson.util.JavaBeanInfo,1,0,10000,440,8,0,10,0,519,156,30.057802,452,102,22.566372,165,68,41.21212,68,41.21212,97,10,11
manual,FASTJSON-4,com.alibaba.fastjson.JSONArray,1,0,10000,426,0,0,0,0,149,128,85.906044,30,26,86.666664,96,84,87.5,69,71.875,27,10,8
manual,WEBMAGIC-2,us.codecraft.webmagic.Spider,1,0,10000,460,18,0,8,0,249,0,0.0,108,0,0.0,166,0,0.0,0,0.0,166,10,11
manual,FASTJSON-3,com.alibaba.fastjson.parser.DefaultJSONParser,1,0,10000,736,8,0,29,0,946,532,56.236786,564,279,49.468086,188,99,52.659576,42,22.340425,146,10,44
manual,JSOUP-1,org.jsoup.parser.TokenQueue,1,0,10000,254,8,0,0,0,141,100,70.92199,130,77,59.23077,133,88,66.16541,2,1.5037594,131,10,1
manual,WEBMAGIC-3,us.codecraft.webmagic.Site,1,0,10000,473,18,0,8,0,89,22,24.7191,64,0,0.0,95,4,4.2105265,4,4.2105265,91,10,11
manual,FASTJSON-2,com.alibaba.fastjson.util.TypeUtils,1,0,10000,785,0,0,2,0,1372,760,55.39359,1142,533,46.672504,308,192,62.33766,192,62.33766,116,10,21
manual,JSOUP-2,org.jsoup.select.QueryParser,1,0,10000,44,4,0,0,0,233,81,34.763947,142,37,26.056337,120,42,35.0,20,16.666668,100,10,1
manual,FASTJSON-1,com.alibaba.fastjson.parser.JSONLexerBase,1,0,10000,623,13,0,31,0,3091,243,7.8615336,2197,123,5.5985436,1023,55,5.376344,55,5.376344,968,10,36
manual,JSOUP-3,org.jsoup.helper.DataUtil,1,0,10000,2599,680,0,23,0,104,79,75.96153,90,46,51.111115,80,64,80.0,64,80.0,16,10,36
manual,WEBMAGIC-1,us.codecraft.webmagic.model.PageModelExtractor,1,0,10000,618,26,0,28,0,206,0,0.0,125,0,0.0,94,0,0.0,0,0.0,94,10,22
manual,JSOUP-4,org.jsoup.parser.Parser,1,0,10000,2601,680,0,23,0,41,36,87.80488,10,9,90.0,30,26,86.666664,26,86.666664,4,10,36
manual,JSOUP-5,org.jsoup.parser.Tokeniser,1,0,10000,2594,680,0,23,0,153,137,89.54248,90,77,85.55556,91,79,86.81319,23,25.274727,68,10,36
manual,FASTJSON-10,com.alibaba.fastjson.serializer.StringCodec,1,0,10000,350,0,0,0,0,45,11,24.444445,20,5,25.0,29,7,24.13793,5,17.241379,24,10,1
manual,ZXING-5,com.google.zxing.qrcode.encoder.MatrixUtil,1,0,10000,26746,374,0,117,0,155,145,93.548386,80,72,90.0,174,174,100.0,45,25.862068,129,10,134
manual,ZXING-6,com.google.zxing.datamatrix.decoder.BitMatrixParser,1,0,10000,26658,374,0,117,0,217,0,0.0,158,0,0.0,144,0,0.0,0,0.0,144,10,134
manual,ZXING-7,com.google.zxing.pdf417.decoder.ec.ModulusPoly,1,0,10000,26577,374,0,117,0,109,79,72.477066,76,46,60.526318,99,77,77.77778,1,1.010101,98,10,134
manual,ZXING-8,com.google.zxing.maxicode.decoder.DecodedBitStreamParser,1,0,10000,26761,374,0,117,0,78,0,0.0,30,0,0.0,52,0,0.0,0,0.0,52,10,134
manual,ZXING-1,com.google.zxing.qrcode.detector.FinderPatternFinder,1,0,10000,26666,374,0,117,0,297,0,0.0,268,0,0.0,134,0,0.0,0,0.0,134,10,134
manual,ZXING-2,com.google.zxing.pdf417.decoder.PDF417ScanningDecoder,1,0,10000,26792,374,0,117,0,291,0,0.0,262,0,0.0,162,0,0.0,0,0.0,162,10,134
manual,ZXING-3,com.google.zxing.common.StringUtils,1,0,10000,26836,374,0,117,0,88,78,88.63636,118,78,66.10169,111,105,94.59459,45,40.54054,66,10,134
manual,ZXING-4,com.google.zxing.client.result.ResultParser,1,0,10000,26649,374,0,117,0,107,90,84.11215,82,61,74.39024,100,91,91.0,27,27.000002,73,10,134
manual,ZXING-9,com.google.zxing.oned.CodaBarWriter,1,0,10000,26772,374,0,117,0,63,51,80.952385,49,36,73.46939,47,45,95.74468,45,95.74468,2,10,134
manual,OKIO-1,okio.Buffer,1,0,10000,23042,182,0,2,0,820,682,83.17073,514,391,76.07004,316,267,84.493675,10,3.164557,306,10,6
manual,OKIO-2,okio.ByteString,1,0,10000,198,54,0,2,0,192,171,89.0625,142,121,85.211266,114,109,95.61404,59,51.754387,55,10,3
manual,OKIO-5,okio.RealBufferedSink,1,0,10000,23426,163,0,2,0,104,87,83.65385,66,41,62.121212,73,62,84.9315,5,6.849315,68,10,7
manual,OKIO-6,okio.Okio,1,0,10000,98,9,0,2,0,35,22,62.857143,28,9,32.142857,30,21,70.0,21,70.0,9,10,3
manual,OKIO-3,okio.SegmentedByteString,1,0,10000,332,68,0,2,0,121,110,90.909096,60,54,90.0,146,137,93.83562,43,29.452055,103,10,4
manual,OKIO-4,okio.RealBufferedSource,1,0,10000,23387,163,0,2,0,201,180,89.55224,162,118,72.83951,106,95,89.62264,29,27.35849,77,10,7
manual,OKIO-9,okio.Utf8,1,0,10000,92,25,0,2,0,30,28,93.333336,26,26,100.0,39,39,100.0,18,46.153847,21,10,3
manual,OKIO-7,okio.Segment,1,0,10000,23176,150,0,2,0,55,55,100.0,24,18,75.0,41,41,100.0,38,92.68293,3,10,6
manual,OKIO-8,okio.AsyncTimeout,1,0,10000,34337,18,0,2,0,68,66,97.05882,44,39,88.63636,51,51,100.0,38,74.5098,13,10,3
