tool,benchmark,class,run,preparationTime,generationTime,executionTime,testcaseNumber,uncompilableNumber,brokenTests,failTests,linesTotal,linesCovered,linesCoverageRatio,conditionsTotal,conditionsCovered,conditionsCoverageRatio,mutantsTotal,mutantsCovered,mutantsCoverageRatio,mutantsKilled,mutantsKillRatio,mutantsAlive,timeBudget,totalTestClasses
evosuite,LA4J-8,org.la4j.matrix.dense.Basic2DMatrix,1,365,119611,8054,66,0,1,0,105,93,88.57143,68,52,76.47059,110,106,96.36363,103,93.63636,7,120,2
evosuite,LA4J-8,org.la4j.matrix.dense.Basic2DMatrix,1,365,119611,8054,66,0,1,0,105,93,88.57143,68,52,76.47059,110,106,96.36363,103,93.63636,7,120,2
evosuite,BCEL-1,org.apache.bcel.classfile.Utility,1,356,117016,5727,139,0,0,0,501,274,54.690617,344,188,54.651165,165,105,63.636364,79,47.878788,86,120,2
evosuite,BCEL-1,org.apache.bcel.classfile.Utility,1,356,117016,5727,139,0,0,0,501,274,54.690617,344,188,54.651165,165,105,63.636364,79,47.878788,86,120,2
evosuite,LA4J-2,org.la4j.decomposition.EigenDecompositor,1,368,57133,7,0,0,0,0,429,0,0.0,222,0,0.0,0,0,0.0,0,0.0,0,120,0
evosuite,LA4J-2,org.la4j.decomposition.EigenDecompositor,1,368,57133,7,0,0,0,0,429,0,0.0,222,0,0.0,0,0,0.0,0,0.0,0,120,0
evosuite,OKHTTP-1,okhttp3.Cookie,1,357,82465,1918,29,0,0,0,236,36,15.254237,208,15,7.2115383,108,15,13.888889,6,5.555556,102,120,2
evosuite,OKHTTP-1,okhttp3.Cookie,1,357,82465,1918,29,0,0,0,236,36,15.254237,208,15,7.2115383,108,15,13.888889,6,5.555556,102,120,2
evosuite,FREEHEP-10,org.freehep.math.minuit.MnUserTransformation,1,362,97229,4351,123,0,0,0,169,169,100.0,72,69,95.83333,112,112,100.0,78,69.64286,34,120,2
evosuite,FREEHEP-10,org.freehep.math.minuit.MnUserTransformation,1,362,97229,4351,123,0,0,0,169,169,100.0,72,69,95.83333,112,112,100.0,78,69.64286,34,120,2
evosuite,LA4J-6,org.la4j.linear.ForwardBackSubstitutionSolver,1,360,71347,7,0,0,0,0,26,0,0.0,20,0,0.0,0,0,0.0,0,0.0,0,120,0
