tool,benchmark,class,run,preparationTime,generationTime,executionTime,testcaseNumber,uncompilableNumber,brokenTests,failTests,linesTotal,linesCovered,linesCoverageRatio,conditionsTotal,conditionsCovered,conditionsCoverageRatio,mutantsTotal,mutantsCovered,mutantsCoverageRatio,mutantsKilled,mutantsKillRatio,mutantsAlive,timeBudget,totalTestClasses
evosuite,ZXING-10,com.google.zxing.qrcode.encoder.Encoder,1,482,17805,9226,98,0,0,0,274,238,86.86131,155,108,69.67742,131,117,89.31297,68,51.908398,63,10,2
evosuite,DUBBO-2,com.alibaba.dubbo.common.utils.ReflectUtils,1,524,5720,19,0,0,0,0,470,0,0.0,418,0,0.0,0,0,0.0,0,0.0,0,10,0
evosuite,WEBMAGIC-1,us.codecraft.webmagic.model.PageModelExtractor,1,567,17243,7013,30,0,1,0,206,71,34.46602,125,30,24.0,94,42,44.68085,42,44.68085,52,10,2
evosuite,WEBMAGIC-4,us.codecraft.webmagic.Page,1,532,4637,17,0,0,0,0,71,0,0.0,24,0,0.0,0,0,0.0,0,0.0,0,10,0
evosuite,OKIO-1,okio.Buffer,1,513,20220,9026,64,0,0,0,820,250,30.487806,514,105,20.428015,316,95,30.063292,33,10.443038,283,10,2
evosuite,OKIO-4,okio.RealBufferedSource,1,517,18553,11710,25,0,0,0,201,48,23.880596,162,31,19.135803,106,24,22.64151,14,13.207547,92,10,2
evosuite,ANTLR-42,org.antlr.v4.semantics.BasicSemanticChecks,1,551,20942,12256,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,10,2
evosuite,ANTLR-12,org.antlr.v4.semantics.SemanticPipeline,1,427,18199,11577,21,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,10,2
evosuite,ANTLR-48,org.antlr.v4.codegen.CodeGenPipeline,1,508,17654,8348,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,10,2
evosuite,ANTLR-9,org.antlr.v4.codegen.OutputModelWalker,1,573,17664,8065,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,10,2
evosuite,ANTLR-25,org.antlr.v4.parse.TokenVocabParser,1,536,18359,7500,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,10,2
evosuite,ANTLR-103,org.antlr.v4.semantics.RuleCollector,1,446,18300,10178,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,10,2
evosuite,ANTLR-5,org.antlr.v4.parse.ToolANTLRParser,1,565,18070,10963,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,10,2
evosuite,ANTLR-56,org.antlr.v4.gui.JFileChooserConfirmOverwrite,1,464,16555,1542,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,10,2
evosuite,AUTHZFORCE-32,org.ow2.authzforce.core.pdp.impl.func.SubstringFunction,1,426,17995,12559,8,0,0,0,45,6,13.333334,30,0,0.0,26,2,7.692308,2,7.692308,24,10,2
evosuite,AUTHZFORCE-33,org.ow2.authzforce.core.pdp.impl.SchemaHandler,1,404,17774,32415,17,0,1,0,47,16,34.042553,6,3,50.0,11,6,54.545456,6,54.545456,5,10,2
evosuite,AUTHZFORCE-63,org.ow2.authzforce.core.pdp.impl.combining.DPUnlessPDCombiningAlg,1,645,17439,3424,3,0,0,0,40,11,27.5,20,2,10.0,18,1,5.555556,1,5.555556,17,10,2
evosuite,AUTHZFORCE-11,org.ow2.authzforce.core.pdp.impl.func.LogicalNOfFunction,1,445,17874,9619,4,0,0,0,19,3,15.789473,10,0,0.0,14,1,7.1428576,1,7.1428576,13,10,2
evosuite,AUTHZFORCE-48,org.ow2.authzforce.core.pdp.impl.policy.PolicyVersions,1,496,18612,19,0,0,0,0,30,0,0.0,22,0,0.0,0,0,0.0,0,0.0,0,10,0
